control_stress	beta_power	gamma_power	alpha_power	reported_anxiety	participant_number
1	-0.432448945977508	-0.117837359775787	-0.243355643525892	1	22
1	1.71717220095178	-1.22024321449426	0.562526100473109	1	22
1	0.655628122563233	-2.12986433618937	-1.01582169954057	1	22
1	-0.518295672231055	-0.265115008700797	1.72135284647055	1	22
1	-0.734953893943696	-0.108847343424741	-0.4740769876319	1	22
1	-0.071848271165287	-0.572441144666997	0.72433683158926	1	22
1	0.653317328250352	0.703533386469677	-0.074983007893563	1	22
1	-0.586170883022107	0.682997720624322	-0.60354909445703	1	22
1	-0.57413927766253	-1.22278728712939	-1.3481077479104	1	22
1	0.155818410238302	0.58667708191446	0.037781439842732	1	22
1	-1.10967327381925	0.748932242347226	-0.715961039828667	1	22
1	-1.60337970652465	0.369270518698413	0.661729850290141	1	22
1	-0.053064793380679	-0.357074877498774	0.881267798648134	1	22
1	0.298466257847942	-1.41802897324001	-0.495436226268544	1	22
1	-0.473173429608621	0.983813659180956	1.85921490127009	1	22
1	0.376410100614494	-0.022476857348364	-1.44439794223953	1	22
1	1.78956366033581	-1.6323037316578	0.156796036967894	1	22
1	1.07179896992339	0.213170147347794	-0.642526947563214	1	22
1	-1.03692368109319	-1.64336403894939	-1.15002803546962	1	22
1	0.294807192049535	0.181186496325726	-0.157222448304524	1	22
1	-0.082224244701293	-0.912042491394137	-3.61900858884505	1	22
1	0.803009197142065	-0.187534007570042	-1.86300422028693	1	22
1	-0.832174734616321	0.749659391686103	0.82628403843128	1	22
1	2.24361959705586	-0.162008482182107	-2.70947083092709	1	22
1	1.69286731096262	0.366401892155369	-1.57979757330876	1	22
1	-0.028373600785014	-1.25128034520984	-0.546378940088373	1	22
1	0.249661843250787	-0.695807548500054	-0.156566616811124	1	22
1	-1.02031949804317	0.485124217953836	0.832213669307158	1	22
1	0.76540453824846	-0.968229201903803	3.84612823810514	1	22
1	0.504062741268218	0.939442961342542	-0.148799841174182	1	22
1	0.178001712683386	-0.485984993977221	-0.722492360721574	1	22
1	0.962860933924628	0.842071748425447	-1.17115839405214	1	22
1	-0.540394438152444	1.63678433249407	-1.00702774196512	1	22
1	2.01861988103876	3.6648795660107	-1.93109604599476	1	22
1	-1.00987403171391	1.33548498754117	-1.54510643317547	1	22
1	-0.439359341068488	-0.270905643612622	-0.095618756596923	1	22
1	-0.501030806800798	-0.730339740481996	-0.22904857479912	1	22
1	0.320638214640087	-1.02147231818303	-0.581221396507315	1	22
1	1.1382999944632	0.316425297170429	3.77785836294641	1	22
1	0.55765776302626	0.367949917091351	0.992852346440361	1	22
1	-0.941642261918739	3.18957156370618	-0.712383623668976	1	22
1	-0.067628042209422	-0.610239812454296	0.037701833591645	1	22
1	-0.220624170152297	-0.662024456474896	-0.555779102414102	1	22
1	2.38379911121749	0.892087288418898	-1.15224248693131	1	22
1	-0.396472184223258	-1.81565268636654	-0.670902503853481	1	22
1	-0.58406173034503	-0.865132561826334	-0.840163590278302	1	22
1	2.02436195320815	-0.910030023610348	0.233194191936991	1	22
1	1.91127856444946	-0.877696402334161	-2.36021135021677	1	22
1	-0.130419927799307	1.1302187405714	0.473693864658129	1	22
1	0.898211259153897	0.103723973640149	-0.053806385453716	1	22
1	-0.335029041748286	-0.109038291998904	1.31473080437324	1	22
1	-0.430001215726288	1.97944602331992	-0.743503113087122	1	22
1	-1.44531430901589	-0.87796195226745	-0.685347186560031	1	22
